,Symbol,Last,Change,%Chg,Gap Up,Gap Up%,High,Volume
0,LODE,6.08,+3.83,+170.22%,+7.51,+323.71%,9.85,"171,192,020"
1,PETZ,5.60,+2.47,+78.91%,+5.48,+166.57%,14.52,"28,008,226"
2,CLPS,12.23,+7.33,+149.59%,+8.22,+161.18%,19.78,"117,081,196"
3,DOGZ,2.85,+0.62,+27.80%,+1.45,+64.16%,4.85,"96,695,287"
4,ONCY,3.94,+0.93,+30.90%,+1.64,+54.30%,4.68,"14,424,224"
5,AKU,3.80,+0.46,+13.77%,+0.66,+19.67%,4.00,"2,890,131"
6,EBON,10.03,+2.15,+27.28%,+1.34,+15.76%,11.24,"72,600,120"
7,TUSK,6.46,+1.31,+25.44%,+0.77,+14.72%,6.28,"717,002"
8,AHAC,12.86,+2.40,+22.94%,+1.53,+14.37%,12.65,"3,607,515"
9,CHNR,2.66,+0.36,+15.65%,+0.32,+13.79%,3.65,"13,496,761"
10,CREX,2.90,+0.34,+13.28%,+0.32,+12.03%,3.13,"1,390,456"
11,VSTM,2.78,+0.30,+12.10%,+0.30,+12.00%,3.04,"9,617,532"
12,CNET,4.78,+1.31,+37.61%,+0.49,+11.95%,5.30,"30,814,909"
13,SRAX,6.10,-0.13,-2.09%,+0.74,+11.84%,7.20,"902,794"
14,VISL,4.80,+0.45,+10.34%,+0.53,+11.78%,5.35,"18,938,617"
15,UAMY,1.6800,+0.3300,+19.64%,+0.2100,+11.41%,1.8400,"6,548,512"
16,AQMS,6.76,+0.70,+11.55%,+0.72,+10.76%,8.06,"17,172,581"
17,RIOT,73.16,+13.66,+22.96%,+6.57,+10.73%,73.51,"45,652,343"
18,ANTE,5.62,+0.67,+13.54%,+0.56,+10.73%,6.88,"4,238,528"
19,KRNT,111.72,+14.23,+14.60%,+10.66,+10.70%,120.97,"880,431"
20,ACIC,15.79,+1.65,+11.67%,+1.56,+10.49%,16.48,"10,928,868"
21,BOMN,45.74,+3.99,+9.56%,+4.33,+10.24%,46.62,"419,177"
22,SOS,13.07,+1.23,+10.39%,+1.32,+9.64%,15.88,"173,321,046"
23,GLG,2.34,+0.04,+1.73%,+0.22,+9.21%,2.63,"1,625,033"
24,CETX,2.76,+0.08,+2.99%,+0.23,+8.58%,3.18,"3,181,713"
25,CSOD,53.55,+7.29,+15.76%,+4.03,+8.37%,55.50,"1,726,032"
26,DMAC,10.14,+0.74,+7.87%,+0.74,+7.64%,10.50,"387,973"
27,MFH,9.85,+1.20,+14.29%,+0.62,+7.36%,13.14,"2,731,987"
28,NKTR,25.16,+2.70,+12.02%,+1.53,+6.71%,26.75,"3,888,367"
29,EMAN,4.58,-0.03,-0.65%,+0.31,+6.61%,5.24,"3,930,850"
30,FAMI,2.1400,+0.1700,+8.63%,+0.1254,+6.13%,2.4700,"2,956,545"
31,TPCO,17.00,+1.03,+6.45%,+0.96,+5.99%,17.34,"2,372,436"
32,NES,3.20,-0.09,-2.77%,+0.19,+5.88%,3.49,"50,392"
33,SELB,4.93,+0.25,+5.34%,+0.28,+5.87%,5.06,"2,572,577"
34,CBAT,8.51,+0.23,+2.78%,+0.47,+5.68%,9.20,"26,104,587"
35,ZGYH,10.80,+0.41,+3.94%,+0.58,+5.57%,10.99,"504,513"
36,PRFX,6.16,+0.66,+12.00%,+0.30,+5.17%,6.70,"515,801"
37,VS,10.95,-0.24,-2.15%,+0.57,+5.14%,11.75,"40,099"
38,ACH,10.31,+0.62,+6.40%,+0.50,+5.09%,10.40,"100,824"
39,NINE,3.68,+0.08,+2.20%,+0.18,+4.86%,4.03,"340,540"
40,MESA,11.75,+1.15,+10.85%,+0.52,+4.81%,12.35,"2,780,859"
41,IKT,7.63,+0.76,+10.78%,+0.35,+4.74%,8.29,"502,552"
42,ELTK,7.75,+0.64,+9.00%,+0.33,+4.63%,8.12,"102,812"
43,CEO,126.55,+5.27,+4.35%,+5.54,+4.56%,127.05,"24,596"
44,VRCA,15.75,+1.70,+12.10%,+0.65,+4.52%,15.85,"49,885"
45,SNP,55.50,+3.02,+5.75%,+2.26,+4.30%,55.79,"174,269"
46,QS,60.99,+10.35,+20.44%,+2.28,+4.15%,62.95,"33,224,161"
47,CRMD,14.28,+0.29,+2.07%,+0.58,+4.02%,15.11,"1,059,540"
48,RDCM,12.20,+0.15,+1.24%,+0.45,+3.73%,12.64,"29,950"
49,WBK,18.19,+0.78,+4.49%,+0.65,+3.73%,18.29,"75,594"
50,WIRE,67.11,+3.01,+4.70%,+2.41,+3.66%,68.37,"124,006"
51,ATH,45.09,-0.78,-1.70%,+1.66,+3.58%,48.07,"1,478,735"
52,JFIN,5.02,-0.24,-4.56%,+0.18,+3.42%,5.70,"561,057"
53,VZ,56.85,+2.70,+5.00%,+1.68,+3.09%,56.81,"27,234,826"
54,HEPA,2.19,-0.03,-1.35%,+0.07,+3.05%,2.37,"19,082,725"
55,NNVC,5.41,-0.08,-1.46%,+0.17,+3.05%,5.87,"375,676"
56,ALGS,30.04,-0.52,-1.70%,+0.97,+3.04%,34.70,"76,675"
57,CFII,11.56,+0.38,+3.40%,+0.34,+2.97%,11.93,"1,202,419"
58,SENS,4.94,-0.33,-6.26%,+0.16,+2.96%,5.56,"56,395,244"
59,HUIZ,9.82,+0.78,+8.66%,+0.27,+2.89%,9.99,"235,481"
60,ANPC,7.04,+0.83,+13.37%,+0.19,+2.82%,8.23,"1,090,580"
61,TARA,22.18,+1.25,+5.99%,+0.57,+2.69%,22.58,"128,433"
62,LIXT,3.67,-0.09,-2.40%,+0.10,+2.67%,3.86,"44,235"
63,MOGU,3.11,+0.12,+4.01%,+0.08,+2.67%,3.32,"1,938,204"
64,VUZI,16.79,-0.37,-2.16%,+0.46,+2.65%,18.15,"3,446,479"
65,WPF,11.02,+0.19,+1.75%,+0.29,+2.65%,11.48,"10,185,682"
66,IX,87.32,+1.12,+1.32%,+2.17,+2.54%,87.48,"17,010"
67,SNPR,16.20,+0.18,+1.12%,+0.39,+2.41%,16.61,"2,053,989"
68,CURI,21.98,+2.31,+11.74%,+0.48,+2.38%,22.99,"2,662,010"
69,NWS,22.80,-0.40,-1.72%,+0.55,+2.34%,24.04,"630,846"
70,MCHP,162.54,+0.30,+0.18%,+3.74,+2.29%,166.67,"2,703,184"
71,BTBT,26.35,-1.91,-6.76%,+0.65,+2.28%,30.50,"4,420,983"
72,BCBP,13.12,+0.08,+0.61%,+0.30,+2.27%,13.49,"17,913"
73,RIVE,9.65,-0.04,-0.41%,+0.22,+2.23%,9.91,"26,105"
74,AYLA,20.80,-1.08,-4.91%,+0.50,+2.22%,23.00,"19,782"
75,HBMD,14.02,+0.01,+0.07%,+0.31,+2.19%,14.45,"12,657"
76,SGTX,43.53,+5.88,+15.62%,+0.84,+2.17%,45.00,"160,229"
77,SCYX,9.39,-0.24,-2.49%,+0.21,+2.17%,10.15,"1,654,923"
78,MREO,3.80,+0.32,+9.20%,+0.08,+2.13%,3.89,"5,536,810"
79,CLWT,6.90,-0.30,-4.17%,+0.15,+2.10%,7.48,"172,687"
80,CBLI,8.49,+0.98,+12.98%,+0.16,+2.07%,9.67,"361,287"
81,SSP,18.45,+0.88,+5.01%,+0.36,+2.04%,19.25,"643,074"
82,A,131.53,+3.58,+2.80%,+2.62,+2.00%,136.98,"2,780,346"
83,WD,102.93,+3.88,+3.92%,+2.04,+2.00%,104.15,"132,957"
84,APM,3.71,+0.24,+6.88%,+0.07,+1.97%,3.91,"714,815"
85,CVI,21.87,+0.75,+3.55%,+0.38,+1.78%,21.97,"350,270"
86,SLRX,2.70,+0.05,+1.89%,+0.05,+1.75%,3.00,"4,599,785"
87,MARA,48.02,+4.46,+10.24%,+0.77,+1.70%,48.00,"21,815,050"
88,CVX,95.64,+2.51,+2.70%,+1.56,+1.66%,96.72,"9,882,387"
89,HEES,29.08,-2.72,-8.55%,+0.51,+1.60%,32.43,"505,062"
90,CAI,41.98,+4.03,+10.62%,+0.62,+1.56%,43.00,"386,433"
91,ROCC,11.00,+0.08,+0.74%,+0.16,+1.51%,11.11,"161,229"
92,WTFC,69.29,-0.55,-0.79%,+1.03,+1.45%,71.99,"125,626"
93,FGF,5.49,+0.70,+14.61%,+0.07,+1.43%,5.60,"255,434"
94,ET,6.91,-0.05,-0.79%,+0.10,+1.43%,7.11,"22,395,956"
95,WAL,82.20,+1.67,+2.08%,+1.15,+1.42%,82.72,"813,296"
96,LFC,11.00,+0.18,+1.66%,+0.15,+1.41%,11.08,"326,261"
97,LHDX,36.04,+1.76,+5.13%,+0.48,+1.38%,37.99,"231,666"
98,ARAY,5.70,-0.04,-0.70%,+0.08,+1.38%,5.87,"630,561"
99,JD,106.10,+2.67,+2.58%,+1.44,+1.37%,108.25,"7,626,177"
100,Symbol,Last,Change,%Chg,Gap Up,Gap Up%,High,Volume
