,Symbol,Last,Change,%Chg,Gap Down,Gap Down%,High,Volume
0,IDXG,4.50,-1.41,-24.14%,-1.63,-29.06%,4.80,"946,690"
1,KAR,15.56,-2.90,-15.71%,-4.37,-23.72%,15.93,"10,617,374"
2,GTYH,6.69,-1.48,-18.12%,-1.84,-23.44%,7.40,"716,070"
3,BGI,2.60,+0.03,+1.17%,-0.33,-13.52%,2.72,"660,725"
4,AFI,3.83,-0.93,-19.54%,-0.61,-12.98%,4.11,"781,558"
5,AGFY,14.00,-2.01,-12.55%,-1.39,-8.86%,14.65,"3,242,745"
6,DNMR,46.71,-6.27,-11.83%,-4.36,-8.38%,48.73,"4,238,945"
7,LZB,37.20,-2.75,-6.88%,-3.32,-8.38%,38.36,"671,651"
8,ACCO,8.17,-0.66,-7.47%,-0.67,-7.63%,8.78,"481,116"
9,JT,3.67,-0.27,-6.85%,-0.28,-7.27%,3.87,"381,029"
10,WING,140.08,-25.91,-15.61%,-10.27,-6.23%,154.61,"1,401,575"
11,WIMI,10.53,-1.32,-11.14%,-0.70,-6.06%,11.39,"4,655,013"
12,OSBC,11.30,-0.03,-0.26%,-0.68,-6.01%,11.38,"21,230"
13,AU,21.52,-1.34,-5.86%,-1.33,-5.83%,21.72,"2,793,356"
14,IBIO,2.00,-0.33,-13.95%,-0.12,-5.53%,2.12,"17,238,291"
15,HSIC,67.07,-3.51,-4.97%,-3.81,-5.51%,67.36,"2,033,676"
16,OMF,48.62,-1.22,-2.45%,-2.90,-5.49%,50.20,"1,058,853"
17,ISUN,16.79,-1.17,-6.51%,-0.96,-5.38%,17.34,"315,102"
18,ABEO,2.62,-0.10,-3.68%,-0.14,-5.17%,2.61,"9,301,425"
19,DIOD,80.58,-1.20,-1.47%,-4.15,-5.11%,81.52,"252,578"
20,HQY,79.99,-5.41,-6.33%,-4.07,-4.83%,80.53,"2,315,736"
21,NEXA,9.69,-0.78,-7.47%,-0.49,-4.74%,10.41,"71,134"
22,STKS,4.75,+0.41,+9.62%,-0.20,-4.73%,4.75,"369,666"
23,SAH,40.83,-3.30,-7.48%,-2.01,-4.56%,43.29,"427,880"
