Symbol,Last,Volume,Gap Up%
LODE,6.08,171192020,323.71
PETZ,5.6,28008226,166.57
DOGZ,2.85,96695287,64.16
ONCY,3.94,14424224,54.3
AKU,3.8,2890131,19.67
TUSK,6.46,717002,14.72
CHNR,2.66,13496761,13.79
CREX,2.9,1390456,12.03
VSTM,2.78,9617532,12.0
CNET,4.78,30814909,11.95
SRAX,6.1,902794,11.84
VISL,4.8,18938617,11.78
UAMY,1.68,6548512,11.41
AQMS,6.76,17172581,10.76
ANTE,5.62,4238528,10.73
GLG,2.34,1625033,9.21
CETX,2.76,3181713,8.58
MFH,9.85,2731987,7.36
EMAN,4.58,3930850,6.61
FAMI,2.14,2956545,6.13
SELB,4.93,2572577,5.87
CBAT,8.51,26104587,5.68
PRFX,6.16,515801,5.17
NINE,3.68,340540,4.86
IKT,7.63,502552,4.74
