Symbol,Last,Volume,Gap Down%
IDXG,4.5,946690,-29.06
GTYH,6.69,716070,-23.44
BGI,2.6,660725,-13.52
AFI,3.83,781558,-12.98
ACCO,8.17,481116,-7.63
JT,3.67,381029,-7.27
IBIO,2.0,17238291,-5.53
ABEO,2.62,9301425,-5.17
STKS,4.75,369666,-4.73
ZOM,2.31,86782419,-4.29
ANY,2.73,640788,-3.89
GNW,3.31,14664795,-3.6
HMY,3.85,5170863,-3.05
ATOS,3.35,8941729,-2.92
CLSN,2.09,6975323,-2.69
AKER,3.98,1686328,-2.5
POWW,7.83,2805968,-2.24
DRD,9.55,299968,-2.23
ENLC,4.38,3300673,-2.16
NG,9.01,679997,-2.11
PBLA,4.95,240423,-2.07
